model,size_b,quant_type,perplexity,degradation_pct
qwen2.5,0.5,Q8_0,13.12,0.0
qwen2.5,0.5,Q5_K_M,13.36,1.8
qwen2.5,0.5,Q4_K_M,13.55,3.3
qwen2.5,0.5,Q3_K_M,14.17,8.0
qwen2.5,0.5,Q2_K,15.76,20.1
qwen2.5,1.5,Q8_0,9.20,0.0
qwen2.5,1.5,Q5_K_M,9.32,1.3
qwen2.5,1.5,Q4_K_M,9.50,3.2
qwen2.5,1.5,Q3_K_M,10.70,16.3
qwen2.5,1.5,Q2_K,21.82,137.2
qwen2.5,3.0,Q8_0,7.95,0.0
qwen2.5,3.0,Q5_K_M,8.13,2.3
qwen2.5,3.0,Q4_K_M,8.35,5.0
qwen2.5,3.0,Q3_K_M,11.65,46.5
qwen2.5,3.0,Q2_K,21454.95,269998.0
qwen2.5,7.0,Q8_0,6.74,0.0
qwen2.5,7.0,Q5_K_M,6.82,1.2
qwen2.5,7.0,Q4_K_M,6.87,1.9
qwen2.5,7.0,Q3_K_M,7.25,7.6
qwen2.5,7.0,Q2_K,9.44,40.1
qwen2.5,14.0,Q8_0,5.11,0.0
qwen2.5,14.0,Q2_K,7.43,45.4
qwen2.5,14.0,fp16_hf,5.81,0.0
